marca,name,price,link,image,scraped_at
marca_79,Playmat Prime Gamegenic - Darth Vader,169.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129506&prod=Playmat Prime Gamegenic - Darth Vader,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484226_4261.jpg,2025-12-15T11:49:38.937453
marca_79,Playmat Prime Gamegenic - Death Star,150.00,https://www.ligaswu.com.br/?view=prod/view&pcode=129507&prod=Playmat Prime Gamegenic - Death Star,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484387_9088.jpg,2025-12-15T11:49:38.938419
marca_79,Playmat Prime Gamegenic - Fett's Firespray,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134587&prod=Playmat Prime Gamegenic - Fett's Firespray,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762456756_2469.jpg,2025-12-15T11:49:38.938419
marca_79,Playmat Prime Gamegenic - Mandalorian,159.90,https://www.ligaswu.com.br/?view=prod/view&pcode=131993&prod=Playmat Prime Gamegenic - Mandalorian,https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726766685_607.jpg,2025-12-15T11:49:38.938419
marca_79,Playmat Prime Gamegenic - Qui-Gon Jinn,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134585&prod=Playmat Prime Gamegenic - Qui-Gon Jinn,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762455733_2956.jpg,2025-12-15T11:49:38.939453
marca_79,Playmat Prime Gamegenic - Rancor,129.90,https://www.ligaswu.com.br/?view=prod/view&pcode=131994&prod=Playmat Prime Gamegenic - Rancor,https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726767137_2443.jpg,2025-12-15T11:49:38.939453
marca_79,Playmat Prime Gamegenic - Speeder Bike Chase,150.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132428&prod=Playmat Prime Gamegenic - Speeder Bike Chase,https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731087597_1691.jpg,2025-12-15T11:49:38.939453
marca_79,Playmat Prime Gamegenic - Stormtrooper,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134588&prod=Playmat Prime Gamegenic - Stormtrooper,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762456864_9517.jpg,2025-12-15T11:49:38.940419
marca_79,Playmat Prime Gamegenic - Tie Fighter,169.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129508&prod=Playmat Prime Gamegenic - Tie Fighter,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484705_3107.jpg,2025-12-15T11:49:38.940419
marca_79,Playmat Prime Gamegenic - Unlimited,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134586&prod=Playmat Prime Gamegenic - Unlimited,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762456605_900.jpg,2025-12-15T11:49:38.940980
marca_79,Playmat Prime Gamegenic - X-Wing,169.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129509&prod=Playmat Prime Gamegenic - X-Wing,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484831_2364.jpg,2025-12-15T11:49:38.940980
marca_79,Playmat Prime Gamegenic - Yoda,169.90,https://www.ligaswu.com.br/?view=prod/view&pcode=132427&prod=Playmat Prime Gamegenic - Yoda,https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731086584_9609.jpg,2025-12-15T11:49:38.941983
marca_79,Playmat Prime XL Gamegenic - Hyperspace,237.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129510&prod=Playmat Prime XL Gamegenic - Hyperspace,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707485056_9649.jpg,2025-12-15T11:49:38.941983
marca_79,Premium Tokens Gamegenic (Star Wars Unlimited),192.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129497&prod=Premium Tokens Gamegenic (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707421585_5540.jpg,2025-12-15T11:49:38.941983
marca_79,Sleeve Gamegenic - Padrão - Ahsoka Tano (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132430&prod=Sleeve Gamegenic - Padrão - Ahsoka Tano (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731089794_7448.jpg,2025-12-15T11:49:38.943015
marca_79,Sleeve Gamegenic - Padrão - Darth Maul (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132433&prod=Sleeve Gamegenic - Padrão - Darth Maul (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241111/1731327529_4108.jpg,2025-12-15T11:49:38.943015
marca_79,Sleeve Gamegenic - Padrão - Darth Vader Art (Star Wars Unlimited),51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129498&prod=Sleeve Gamegenic - Padrão - Darth Vader Art (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707422310_144.jpg,2025-12-15T11:49:38.943015
marca_79,Sleeve Gamegenic - Padrão - General Grievous (Star Wars Unlimited),51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=132431&prod=Sleeve Gamegenic - Padrão - General Grievous (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731091277_2779.jpg,2025-12-15T11:49:38.944014
marca_79,Sleeve Gamegenic - Padrão - Kylo Ren (Star Wars Unlimited),47.92,https://www.ligaswu.com.br/?view=prod/view&pcode=131998&prod=Sleeve Gamegenic - Padrão - Kylo Ren (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726771604_1350.jpg,2025-12-15T11:49:38.944014
marca_79,Sleeve Gamegenic - Padrão - Luke Skywalker Art (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=129499&prod=Sleeve Gamegenic - Padrão - Luke Skywalker Art (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707480877_9655.jpg,2025-12-15T11:49:38.944014
marca_79,Sleeve Gamegenic - Padrão - Moff Gideon (Star Wars Unlimited),47.92,https://www.ligaswu.com.br/?view=prod/view&pcode=131996&prod=Sleeve Gamegenic - Padrão - Moff Gideon (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726769585_5024.jpg,2025-12-15T11:49:38.945014
marca_79,Contador de Vida - Gamegenic - Damage Pad - Branco,119.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134523&prod=Contador de Vida - Gamegenic - Damage Pad - Branco,https://repositorio.sbrauble.com/arquivos/up/prod/20251030/1761835445_9797.jpg,2025-12-15T11:49:42.592989
marca_79,Contador de Vida - Gamegenic - Damage Pad - Preto,119.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134522&prod=Contador de Vida - Gamegenic - Damage Pad - Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20251030/1761835078_3127.jpg,2025-12-15T11:49:42.592989
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Amarelo,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129485&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Amarelo,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707404314_6551.jpg,2025-12-15T11:49:42.594064
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Azul,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129483&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Azul,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707401791_2114.jpg,2025-12-15T11:49:42.594378
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Branco/Preto,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129481&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Branco/Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707400005_6670.jpg,2025-12-15T11:49:42.594378
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Preto,249.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129480&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707397012_9608.jpg,2025-12-15T11:49:42.596183
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Verde,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129482&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Verde,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707400691_1257.jpg,2025-12-15T11:49:42.596218
